ticker;name;sektor;land;waehrung;marktkap_mrd;roce_prozent;roce_schnitt_prozent;gewinnrendite_prozent;fcf_rendite_prozent;umsatz_cagr_prozent;bruttomarge_prozent;schulden_zu_ebitda;kgv;rang_qualitaet;rang_bewertung;magic_rang;kandidat;verletzte_kriterien;ausschluss
ADS.DE;adidas AG                     N;Consumer Cyclical;Germany;EUR;29.0;18.3;9.4;6.2;0.9;3.3;51.6;1.3;21.2;1;2;3;nein;FCF-Rendite < 3 %;
BMW.DE;BAYERISCHE MOTOREN WERKE AG   S;Consumer Cyclical;Germany;EUR;36.2;5.9;9.4;10.5;-7.6;-2.2;15.4;3.4;5.8;4;1;5;nein;ROCE < 15 % | FCF-Rendite < 3 % | Umsatz schrumpft | Nettoschulden > 3x EBITDA | FCF mehrfach negativ;
BNR.DE;Brenntag SE                   N;Basic Materials;Germany;EUR;9.0;7.7;12.6;5.5;7.5;-7.9;25.3;2.0;39.3;3;3;6;nein;ROCE < 15 % | Umsatz schrumpft;
AIR.PA;AIRBUS SE;Industrials;Netherlands;EUR;164.6;10.0;9.1;4.5;2.4;7.7;14.9;0.0;27.9;2;5;7;nein;ROCE < 15 % | Gewinnrendite < 5 % | FCF-Rendite < 3 %;
BAS.DE;BASF SE                       N;Basic Materials;Germany;EUR;44.0;5.7;4.3;5.3;3.1;-11.9;24.1;2.7;21.5;5;4;9;nein;ROCE < 15 % | Umsatz schrumpft;
BAYN.DE;Bayer AG                      N;Healthcare;Germany;EUR;47.0;-1.2;1.6;-1.1;7.3;-3.5;58.8;14.9;;6;6;12;nein;ROCE < 15 % | Gewinnrendite < 5 % | Umsatz schrumpft | Nettoschulden > 3x EBITDA;
ALV.DE;Allianz SE                    v;Financial Services;Germany;EUR;;;;;;;;;14.0;;;;nein;;Sektor Financial Services (Kennzahlen nicht vergleichbar)
BEI.DE;BEIERSDORF AG                 I;Consumer Defensive;Germany;EUR;;;;;;;;;19.3;;;;nein;;EBIT oder Marktkapitalisierung fehlt
CBK.DE;Commerzbank AG                I;Financial Services;Germany;EUR;42.3;;;;;;;;17.8;;;;nein;;Sektor Financial Services (Kennzahlen nicht vergleichbar)
CON.DE;CONTINENTAL AG                I;Consumer Cyclical;Germany;EUR;;;;;;;;;;;;;nein;;EBIT oder Marktkapitalisierung fehlt
