ticker;name;sektor;land;waehrung;marktkap_mrd;roce_prozent;roce_schnitt_prozent;gewinnrendite_prozent;fcf_rendite_prozent;umsatz_cagr_prozent;bruttomarge_prozent;schulden_zu_ebitda;kgv;rang_qualitaet;rang_bewertung;magic_rang;kandidat;verletzte_kriterien;ausschluss
EVD.DE;CTS Eventim AG & Co. KGaA     I;Communication Services;Germany;EUR;5.6;29.7;32.8;11.3;1.5;16.9;27.0;0.0;19.2;7;10;17;nein;FCF-Rendite < 3 %;
TMV.DE;TeamViewer SE                 I;Technology;Germany;EUR;1.0;25.9;27.6;11.4;23.0;9.7;86.4;3.3;8.1;9;9;18;nein;Marktkap. < 1 Mrd | Nettoschulden > 3x EBITDA;
TUI1.DE;TUI AG                        N;Consumer Cyclical;Germany;EUR;4.0;18.5;14.2;24.2;33.1;13.5;8.3;0.9;6.0;19;3;22;JA;;
WKL.AS;WOLTERS KLUWER;Industrials;Netherlands;EUR;15.2;32.0;26.9;9.2;9.0;3.9;73.5;1.8;12.1;6;20;26;JA;;
KRN.DE;KRONES AG                     I;Industrials;Germany;EUR;3.6;16.8;15.4;13.5;7.2;10.4;52.3;0.0;12.4;23;7;30;JA;;
FNTN.DE;freenet AG                    N;Communication Services;Germany;EUR;2.9;17.2;12.8;11.0;12.6;-1.5;41.1;1.2;11.2;22;11;33;nein;Umsatz schrumpft;
BOSS.DE;HUGO BOSS AG                  N;Consumer Cyclical;Germany;EUR;2.6;15.4;15.6;11.9;19.4;5.4;61.5;1.0;11.4;27;8;35;JA;;
FPE3.DE;FUCHS SE                      N;Basic Materials;Germany;EUR;5.3;20.9;20.8;8.7;5.9;1.5;34.9;0.0;16.8;12;24;36;JA;;
ENI.MI;ENI;Energy;Italy;EUR;68.1;13.9;19.1;16.0;6.0;-14.7;9.4;0.9;19.1;31;5;36;nein;ROCE < 15 % | Umsatz schrumpft;
GBF.DE;Bilfinger SE                  I;Industrials;Germany;EUR;3.1;16.7;12.1;10.7;10.3;8.0;11.3;0.0;17.1;24;13;37;JA;;
SAF.PA;SAFRAN;Industrials;France;EUR;146.2;50.7;14.0;7.2;2.7;16.9;46.9;0.0;37.9;1;38;39;nein;FCF-Rendite < 3 %;
ADYEN.AS;ADYEN;Technology;Netherlands;EUR;28.6;25.8;27.6;7.7;3.2;-33.3;88.8;0.0;27.0;10;30;40;nein;Umsatz schrumpft;
DG.PA;VINCI;Industrials;France;EUR;68.8;12.6;11.8;10.7;11.6;6.6;60.0;1.4;13.8;35;12;47;nein;ROCE < 15 %;
MTX.DE;MTU Aero Engines AG           N;Industrials;Germany;EUR;20.1;19.8;10.5;7.5;1.7;18.0;19.3;0.0;21.7;16;34;50;nein;FCF-Rendite < 3 %;
BEI.DE;BEIERSDORF AG                 I;Consumer Defensive;Germany;EUR;17.9;14.9;13.8;9.0;1.8;3.8;57.7;0.0;19.3;30;23;53;nein;ROCE < 15 % | FCF-Rendite < 3 %;
LHA.DE;DEUTSCHE LUFTHANSA AG         V;Industrials;Germany;EUR;11.1;8.7;8.7;14.1;-3.9;8.6;12.5;1.3;7.1;51;6;57;nein;ROCE < 15 % | FCF-Rendite < 3 % | FCF mehrfach negativ;
NDA.DE;Aurubis AG                    I;Industrials;Germany;EUR;8.0;11.6;10.8;9.2;-1.0;-0.6;10.2;0.2;8.7;38;19;57;nein;ROCE < 15 % | FCF-Rendite < 3 % | Umsatz schrumpft | FCF mehrfach negativ;
HEN3.DE;Henkel AG & Co. KGaA          I;Consumer Defensive;Germany;EUR;30.9;11.8;9.6;9.1;6.0;-2.9;50.8;0.1;15.5;37;21;58;nein;ROCE < 15 % | Umsatz schrumpft;
NDX1.DE;Nordex SE                     I;Industrials;Germany;EUR;8.9;19.8;-3.8;6.3;9.4;9.9;27.0;0.0;23.0;15;43;58;JA;;
