plz;ort;theta_e_C;jahresmittel_C;hoehe_m;klimazone_din4710
01067;Dresden;-12.3;10.5;112;4
01069;Dresden;-12.4;10.4;115;4
01097;Dresden;-12.1;10.9;115;4
01099;Dresden;-14.0;9.3;253;4
01108;Dresden;-13.9;9.5;216;9
01109;Dresden;-13.8;9.5;212;4
01127;Dresden;-12.6;10.3;114;4
01129;Dresden;-12.8;10.0;140;4
01139;Dresden;-12.7;10.1;111;4
01156;Dresden;-13.8;9.3;255;4
01157;Dresden;-12.6;10.2;140;4
01159;Dresden;-12.6;10.2;133;4
01169;Dresden;-13.3;9.8;212;4
01187;Dresden;-12.8;10.0;169;4
01189;Dresden;-13.3;9.7;236;4
01217;Dresden;-12.9;9.9;158;4
01219;Dresden;-12.6;10.3;119;4
01237;Dresden;-12.7;10.2;121;4
01239;Dresden;-12.8;10.0;137;4
01257;Dresden;-12.8;10.2;125;4
01259;Dresden;-12.8;10.1;119;4
01277;Dresden;-12.7;10.3;115;4
01279;Dresden;-13.1;9.9;114;4
01307;Dresden;-12.5;10.4;115;4
01309;Dresden;-12.6;10.3;116;4
01324;Dresden;-13.9;9.4;240;4
01326;Dresden;-13.9;9.3;247;4
01328;Dresden;-13.9;8.9;304;4
01445;Radebeul;-12.8;10.0;122;4
01454;Radeberg, Wachau;-14.0;9.3;258;9
01458;Ottendorf-Okrilla;-13.6;9.6;160;9
01465;Dresden;-13.9;9.5;209;9
01468;Moritzburg;-13.8;9.6;178;9
01471;Radeburg;-13.6;9.6;156;9
01477;Arnsdorf b, Dresden;-14.0;9.2;249;9
01558;Großenhain;-13.5;9.7;123;4
01561;Großenhain, Ebersbach u.a.;-13.6;9.6;132;4
01587;Riesa;-13.3;9.7;117;4
01589;Riesa;-13.3;9.7;105;4
01591;Riesa;-12.9;9.7;99;4
01594;Riesa, Stauchitz, Hirschstein;-13.6;9.6;131;4
01609;Gröditz, Wülknitz, Röderaue;-13.3;9.6;98;4
01612;Nünchritz, Glaubitz;-13.6;9.7;109;4
01616;Strehla;-13.0;9.7;94;4
01619;Zeithain;-13.0;9.6;97;4
01623;Lommatzsch;-13.6;9.6;155;4
01640;Coswig;-13.0;9.9;116;4
01662;Meißen;-12.9;10.0;109;4
01665;Käbschütztal, Klipphausen, Diera-Zehren;-13.5;9.5;202;4
01683;Nossen;-13.8;9.3;245;9
01689;Weinböhla;-13.4;9.8;138;4
01705;Freital;-13.4;9.5;233;4
01723;Wilsdruff;-13.8;9.0;306;4
01728;Bannewitz;-13.7;9.1;283;4
01731;Kreischa;-13.7;9.3;245;4
01734;Rabenau;-13.8;8.9;317;4
01737;Tharandt u.a.;-13.8;8.7;363;9
01738;Dorfhain;-13.8;8.7;348;9
01744;Dippoldiswalde;-13.9;8.1;447;9
01762;Hartmannsdorf-Reichenau;-14.6;7.1;605;10
01768;Glashütte;-14.0;8.0;466;9
01773;Altenberg;-15.2;5.8;786;10
01774;Klingenberg;-13.9;8.3;441;9
01776;Hermsdorf;-14.9;6.4;700;10
01778;Altenberg;-14.5;7.0;608;10
01796;Pirna, Struppen, Dohma;-13.5;9.3;232;9
01809;Heidenau;-13.8;9.3;240;4
01814;Bad Schandau;-13.7;9.0;241;10
